sample_id	filename	file_type	size	file_ome	open_access
MOHD_EA100016	MOHD_EA100016_R1.fastq.gz	Sequenced reads	1417339207	ATAC_SEQ	False
MOHD_EA100016	MOHD_EA100016_R2.fastq.gz	Sequenced reads	1535450808	ATAC_SEQ	False
MOHD_EA100016	MOHD_EA100016_signal-FC_GRCh38_v0.bigWig	Fold change signal	624636723	ATAC_SEQ	True
MOHD_EA100016	MOHD_EA100016_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	416778	ATAC_SEQ	True
MOHD_EA100016	MOHD_EA100016_unfiltered_GRCh38_v0.bam	Aligned reads	4681514352	ATAC_SEQ	False
MOHD_EA100016	MOHD_EA100016_signal-pvalue_GRCh38_v0.bigWig	p-value signal	489129246	ATAC_SEQ	True
MOHD_EA100016	MOHD_EA100016_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	896634	ATAC_SEQ	True
MOHD_EA100016	MOHD_EA100016_filtered_GRCh38_v0.bam	Aligned reads	2866890670	ATAC_SEQ	False
MOHD_EA100017	MOHD_EA100017_signal-FC_GRCh38_v0.bigWig	Fold change signal	584864235	ATAC_SEQ	True
MOHD_EA100017	MOHD_EA100017_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1488977	ATAC_SEQ	True
MOHD_EA100017	MOHD_EA100017_unfiltered_GRCh38_v0.bam	Aligned reads	4402341478	ATAC_SEQ	False
MOHD_EA100017	MOHD_EA100017_R2.fastq.gz	Sequenced reads	1406601789	ATAC_SEQ	False
MOHD_EA100017	MOHD_EA100017_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	824586	ATAC_SEQ	True
MOHD_EA100017	MOHD_EA100017_R1.fastq.gz	Sequenced reads	1320702443	ATAC_SEQ	False
MOHD_EA100017	MOHD_EA100017_signal-pvalue_GRCh38_v0.bigWig	p-value signal	451275653	ATAC_SEQ	True
MOHD_EA100017	MOHD_EA100017_filtered_GRCh38_v0.bam	Aligned reads	2609192632	ATAC_SEQ	False
MOHD_EA100018	MOHD_EA100018_signal-FC_GRCh38_v0.bigWig	Fold change signal	639295815	ATAC_SEQ	True
MOHD_EA100018	MOHD_EA100018_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	536084	ATAC_SEQ	True
